class,description
Deinococci,"1. A colony of Deinococcus radiodurans displays its characteristic arrangement in a tetrad of four tightly-associated cells. 
 2. The cell envelope is encapsulated within a prominent S-layer, which exhibits a distinctive planar hexagonal symmetry when viewed from above. 
 3. A bacterium under stress shows a condensed and more circular nucleoid, a shape that helps protect its genome from DNA damage."
Acidithiobacillia,"1. The species Acidithiobacillus ferrooxidans is a small, rod-shaped bacterium that can be found in short chains or as single cells. 
 2. A microbial community displays a cluster of rod-shaped Acidithiobacillus cells held together by an exopolymer-bound matrix of sticky, protective slime."
Cephalocarida,"1. An adult Lightiella magdalenina is a small, flexible, and translucent crustacean with a cephalic shield and paired thoracic limbs. 
 2. An ovigerous adult carries a single ovisac attached to its ninth thoracopod, containing a metanauplius with a three-segmented trunk. 
 3. The body is divided into a cephalon, a segmented thorax with limbs, and a limbless abdomen, terminating in slender caudal filaments."
Chlorarachniophyceae,"1. An amoeboid cell of Lotharella globosa extends branching filopodia through a pore in its cell wall to form a net-like colony. 
 2. The green alga displays a single, laterally inserted flagellum which appears to wrap helically around the cell body as it swims. 
 3. A photosynthetic marine alga is a green amoeba containing bilobed chloroplasts, each with a projecting pyrenoid for carbon fixation."
Uniplacotomia,"1. Trichoplax adhaerens is an amorphous, flattened, and irregular blob, resembling a squashed sandwich only a few millimeters across. 
 2. The lower surface of the organism, which is slightly concave, has numerous ciliated cells that help it creep along a substrate. 
 3. The small, multi-celled body has a flattened dorsal layer of thin cells and a thicker ventral layer of cylindrical cells."
Tritirachiomycetes,"1. A velutinous to cottony colony of Tritirachium batistae displays a light grey to white color on a PDA culture plate.  2. The fertile portions of the erect conidiophores of Tritirachium exhibit a distinctive rachis-like, zigzag morphology with globose conidia.  3. Colony coloration on MEA for Tritirachium candoliense appears vinaceous, indicating sensitivity to the specific growth medium."
Cystobasidiomycetes,"1. Within a lichen thallus, small, round Cyphobasidiales yeasts fluoresce green, embedded in the peripheral cortex of the larger, blue-fluorescent lecanoromycete.  2. Anamorphs of this class are prevalent as budding yeast, consisting of mononucleate, round, thin-walled cells ranging from 2.5 to 4.5 micrometers in diameter.  3. A scanning electron micrograph shows the host-parasite interface where a simple pore is enclosed by a unique, reticulate cystosome organelle."
Deltaproteobacteria,"1. Small, comma-shaped rods of Bdellovibrio are shown in a microscopic image of a predatory attack, attaching side-on to a larger prey bacterium.  2. Desulfovibrio, a gram-negative Deltaproteobacteria, is characterized by its vibrioid, or curved rod-shaped, morphology."
Neolectomycetes,"1. An irregularly shaped, club-like fruiting body of Neolecta irregularis appears bright orange to yellow-orange and stands about 2-6 cm tall.  2. Several Neolecta irregularis fungi emerge from the ground from a structure resembling a plant seed in a wet forest environment."
Metromonadea,N/A
Oomycetes,"1. The filamentous protist Saprolegnia, a water mold, displays large, round oogonia which contain the female gametes.  2. A terrestrial parasitic form, Plasmopara viticola, is visible as a white, brownish, or olive-colored downy mildew on the undersides of leaves.  3. Some oomycetes have an aseptate, branching form, while others are unicellular, and many produce spherical, translucent oospores."
Jakobea,"1. The cell of Jakoba incarcerata is small, between 5 and 10 micrometers in length, with a prominent ventral feeding groove.  2. A motile Jakoba cell possesses two unequal flagella, a shorter anterior one and a longer posterior one with a distinct dorsal vane.  3. A transmission electron micrograph shows the two basal bodies of the flagella arranged in a perpendicular or obtuse angle to each other."
Malasseziomycetes,"1. Colonies of Malassezia on a culture plate are yellowish-creamy with a smooth or lightly wrinkled surface and a buttery consistency.  2. A microscopic field of Malassezia furfur shows yeast cells that have a distinctive bottle-like shape with a small protrusion at one end.  3. The cell wall of a Malassezia furfur yeast cell is characteristically multilamellar, with a corrugate invagination of the plasma membrane."
Halobacteria,"1. A salty pond in the Arabian desert is colored a deep red due to a massive bloom of the rod-shaped archaea Halobacterium salinarum.  2. Microscopically, the rod-shaped cell body of a Halobacterium salinarum is shown with a long, multi-filament flagellar bundle extending from one pole."
Glaucophyceae,"1. An individual cell of Glaucocystis is ovoid and contains multiple cyanobacterial endosymbionts, known as cyanelles, with a blue-green color.  2. Ovoid or egg-shaped cells are found in groups of four, enclosed within a translucent outer host membrane.  3. Motile forms of glaucophytes have two unequal flagella, both of which may have fine hairs."
Glaucocystophyceae,"1. Ovoid or egg-shaped cells of Glaucocystis are found in groups of four, enclosed within a translucent outer host membrane.  2. A defining feature is the presence of photosynthetic cyanelles, which are blue-green due to phycobilisomes.  3. Motile forms have two unequal flagella, which may have fine hairs."
Fusobacteriia,"1. The gram-negative rods of Fusobacterium nucleatum are long and slender, with sharply pointed ends, giving them a characteristic fusiform shape.  2. A field of Fusobacteriia shows cells that are spindle-shaped and pale-staining under a Gram stain micrograph."
Coelacanthi,"1. The West Indian Ocean coelacanth (Latimeria chalumnae) is a large, plump fish with a deep, steel-blue body and irregular white spots.  2. This fish possesses unique paired lobed fins that extend away from the body, and a three-lobed tail fin with a central tuft of rays.  3. The thick, armor-like scales and distinct brown coloration of a Sulawesi coelacanth, Latimeria menadoensis, distinguish it from other species."
Monothalamids,"1. A tubular, often irregularly shaped monothalamid has a single terminal aperture and a whitish to yellowish cytoplasm filled with fine granules.  2. The broad oval test of a saccamminid has a matt white appearance with a slightly pointed end and is covered in small, flaky mineral granules.  3. A pyriform test of Psammophaga is distinguished by its translucent wall and the presence of numerous internal mineral particles."
Sareomycetes,"1. Small apothecia of Sarea resinae are distinguished by their bright orange coloration as they grow on the resin of a conifer tree.  2. In contrast, the fruitbodies of Sarea difformis are notable for their black coloration, growing on the same type of conifer resin substrate."
Florideophycidae,"1. The red alga Plumaria elegans forms a finely branched, filamentous thallus, with individual cells visible within its delicate structure under a light micrograph. 2. A green color morph of Gracilaria sp. displays a multiaxial, bushy thallus composed of interwoven filaments grown in a culture tank, contrasting with a typical red variant. 3. Multiple, brightly fluorescing nuclei are distinctly visible within a single DAPI-stained cell of Agardhiella subulata, highlighting its internal cellular structure."
Allomalorhagida,"1. The small marine invertebrate Cristaphyes cristatus has an eleven-segmented trunk with pointed middorsal processes that progressively lengthen toward the posterior end. 2. A male Pycnophyes aulacodes displays a segmented body with long lateral terminal spines, distinct middorsal elevations, and paired laterodorsal setae on multiple segments. 3. With a rounded posterior margin, the midsternal plate of Pycnophyes chalgap extends over the following segment, a key feature in its segmentation."
Negativicutes,"1. The organism Selenomonas ruminantium presents as a crescent-shaped rod with a single tuft of multiple flagella emerging from the middle of its concave side. 2. A large, nonmotile, banana-shaped rod of Sporomusa ovata is visible, sometimes showing filamentous growth when subjected to increased salinity. 3. Spherical forms of bacteria, such as Megasphaera, are visible as single cells or occasional diplo-rods under microscopy."
Trichomonadea,"1. The flagellated protozoan Tritrichomonas foetus is a motile, pear-shaped cell with three anterior flagella and a prominent undulating membrane extending from a posterior flagellum. 2. A Trichomonas vaginalis trophozoite displays a pyriform or oval shape, swimming freely with a jerky, rolling motion in a liquid medium. 3. When attached to a substrate, the extracellular parasite Tritrichomonas is seen forming a tight monolayer of cells with multiple interdigitations between neighboring plasma membranes."
Monoplacophora,"1. The deep-sea mollusc Neopilina galatheae is visible from the dorsal side, showing a single, thin, and cap-like shell with a slightly coiled apex pointing forward. 2. The ventral view reveals an oval, flat foot bordered by five pairs of gills on each side, a characteristic trait of the species. 3. A specimen of Monoplacophora shows a limpet-like appearance with an untorted, univalved shell and bilaterally symmetrical repeated organ systems."
Corycida,N/A
Pterobranchia,"1. The colonial organism Rhabdopleura normani forms a branching, tubular coenecium with colorlessly secreted tubes that stand erect from an adherent surface. 2. A colony of Graptolithina, or graptolites, reveals its organic housing is made of secreted, fusellar rings that form distinct zigzag patterns or full rings. 3. Individual Rhabdopleura zooids protrude from the tube apertures, bearing a single pair of tentacled arms for filter feeding."
Schizosaccharomycetes,"1. The unicellular fungus Schizosaccharomyces pombe presents as a rod-shaped cell, approximately 3-4 micrometers in diameter, elongating strictly at its ends. 2. A zygote of fission yeast, formed from the fusion of two haploid cells, enters meiosis and produces four haploid spores within a linear ascus. 3. The vegetative stage of Schizosaccharomycetes shows individual cells dividing by medial fission into two daughter cells of roughly equal size."
Mesostigmatophyceae,"1. Mesostigma viride is a basal green alga, seen as a naked cell with a single green chloroplast and two equal flagella. 2. A unicellular specimen is covered by one or two layers of flat, organic scales with a unique reticulate or spiderweb-like ornamentation. 3. The freshwater protist Mesostigma reveals a single, large chloroplast with a pyrenoid, visible internally within the cell body."
Chlorodendrophyceae,"1. The green alga Tetraselmis is a unicellular, flagellated eukaryote enclosed by a fused, thick thecal wall composed of extracellular scales. 2. A Chlorodendrales cell is visible with four flagella, each covered in multiple layers of individually separated, non-fused scales. 3. A microscopic view shows the green, photoautotrophic cell of Scherffelia contained within a theca but lacking the internal pyrenoid found in related species."
Bartheletiomycetes,"1. The fungus Bartheletia paradoxa is visible as hemispherical pustules of thick-walled, dark brown to black teliospores on a decaying Ginkgo biloba leaf. 2. The filamentous anamorph stage on the fallen leaf produces hyaline, obclavate conidia with several hair-like lateral appendages. 3. Under a microscope, the fungal hyphae of Bartheletia paradoxa are notable for their septal structure with multiple tiny, plasmodesma-like pores."
Milneviricetes,"1. The filamentous nucleocapsid of Blueberry mosaic associated virus coils around itself to form a pseudo-linear duplex structure, visible via electron microscopy. 2. A symptomatic blueberry plant displays a mosaic pattern on its foliage, with mottling in colors of yellow, yellow-green, and pink. 3. Viral nucleocapsids are observed as a nonenveloped, filamentous particle, 3 nm in diameter and up to 2000 nm long, forming a circular open form."
Spiculogloeomycetes,"1. Species of Spiculogloea are seen forming hyphal states that produce auricularioid, or laterally septate, basidia. 2. The mycoparasite Spiculogloea inaequalis is visible as smooth, thin-walled, subglobose basidiospores on the tissues of a fungal host. 3. Under a light microscope, a species in this class produces minute, white sporodochia on the hyphae of its host."
Microsporea,"1. The infectious stage of Enterocytozoon bieneusi is a small (1-4 μm), resistant spore that appears oval or pyriform. 2. A mature microsporidian spore reveals a defining feature: a coiled polar tubule that wraps around the sporoplasm and nucleus inside the spore wall. 3. The thick spore coat of Encephalitozoon cuniculi is visible, composed of a three-layered electron-dense exospore and an electron-lucent endospore."
Chlamydiae,"1. An electron micrograph reveals a host cell's cytoplasm containing a large inclusion body, a vacuole filled with developing Chlamydia trachomatis. 2. Within the inclusion, a mix of small, dense elementary bodies and larger, less dense reticulate bodies are visible. 3. A non-replicating elementary body, approximately 0.25-0.3 μm in diameter, is seen entering a host cell and beginning to differentiate into its reproductive form."
Micrognathozoa,"1.The microscopic Limnognathia maerski displays a segmented body with dorsal plates and ventral cilia for locomotion, anchored by a posterior adhesive pad.
2. SEM reveals the jaw animal Limnognathia possesses an exceptionally complex jaw apparatus, with numerous sclerotized pieces forming an intricate feeding structure.
3. The body of Limnognathia desmeti is characterized by a ciliated ventral surface for movement and a series of dorsal and lateral plates."
Basidiobolomycetes,"1.  Under magnification, the fungus Basidiobolus ranarum is characterized by its large, spherical, and thick-walled zygospores, which are its sexual resting spores.
2.  Asexual reproduction in Basidiobolus involves the formation of globose, single-celled conidia that are forcibly discharged from the tips of sporophores.
3.  On culture plates, colonies of Basidiobolus appear as flat, waxy, and radially folded growths, typically with a yellowish-grey coloration."
Breviatea,"1.The amoeboid Breviata anathema extends sturdy, branching filose pseudopodia from its cell body, a unique form of locomotion among protists.
2.Pygsuia biforma exhibits a dimorphic life cycle, alternating between an adherent amoeboid form with a single flagellum and a swimming form with two opposed flagella.
3.Light micrographs of Breviata anathema show a uniflagellate cell with numerous, fine, branching pseudopods that flatten and attach to the substrate."
Stylonematophyceae,"1. The red alga Stylonema alsidii forms microscopic, sparsely branched, uniseriate filaments with a distinctly gelatinous appearance.
2. Each vegetative cell of Stylonema alsidii contains a single, prominent, star-shaped chloroplast with a central pyrenoid.
3. The simple filamentous thallus of Stylonema consists of squat to elongate cells with rounded corners, attached to the substrate by a modified basal cell."
Megaviricetes,"1. The giant Acanthamoeba polyphaga mimivirus has a large icosahedral capsid covered by a dense layer of 100-nm-long protein filaments.
2. A unique feature of Mimivirus is the ""stargate,"" a five-pointed structure at one vertex of the capsid that opens to release the viral genome.
3. Viruses in the family Ascoviridae can be rod-shaped or oval, measuring up to 400 nm long, and possess a complex internal core structure."
Bigyromonadea,"1. The nanoflagellate Developayella elegans is a small, oval cell with two flagella emerging from a ventral groove, typical of heterotrophic stramenopiles.
2. Species like Develocanicus komovi exist as motile, biflagellate zoospores, though detailed morphological characterization of the class remains limited.
3. The parasitic zoospores of Pirsonia chemainus are observed attaching to the frustules of diatoms, initiating infection of their host."
Erysipelotrichia,"1. Under a Gram stain, the pathogen Erysipelothrix rhusiopathiae appears as distinctly purple, rod-shaped, Gram-positive bacilli.
2. When cultured on blood agar, Erysipelothrix rhusiopathiae forms small colonies surrounded by a narrow zone of greenish alpha-hemolysis.
3. The cellular morphology of Erysipelothrix is that of a non-motile, non-spore-forming, slender Gram-positive rod, often found in short chains or singly."
Phylactolaemata,"1. Pectinatella magnifica forms massive, gelatinous, and slimy colonies, with thousands of individual zooids arranged in visible rosette-like patterns on the surface.
2. Colonies of Fredericella sultana consist of delicate, slender, cylindrical tubes that grow in an open, antler-like branching pattern on submerged surfaces.
3. The Asian freshwater bryozoan, Lophopodella carteri, creates small, globular, and yellowish colonies with a soft, lobate, and gelatinous structure.
"
Xylobotryomycetes,"1. The fungus Xylobotryum portentosum develops erect, branched, and often globose fruiting bodies that grow on submerged woody substrates.
2. Species like Xylobotryum coralloides are named for their distinctive coral-like ascocarps, which form complex, branching structures on decaying wood.
3. The fruiting bodies of Xylobotryum are often hollow and stipitate, with a complex, three-dimensional structure that maximizes surface area for spore dispersal."
Phytomyxea,"1. Infection by Plasmodiophora brassicae induces massive, club-shaped galls on the roots of host plants, a dramatic alteration of the host's morphology.
2. Microscopically, the parasite Plasmodiophora cf. halophilae manifests as clusters of mature, thick-walled, spherical resting spores that fill the infected host cells.
3. The vegetative stage of a phytomyxid is a multinucleate plasmodium, an amoeboid mass of cytoplasm that proliferates inside the cells of its plant or algal host."
Picocystophyceae,"1. Under normal conditions, the pico-alga Picocystis salinarum is a tiny, spherical or oval cell, only 2-3 micrometers in diameter.
2. When experiencing nutrient depletion, Picocystis salinarum cells transform into a distinctive trilobed shape, resembling the head of Mickey Mouse.
3. Light micrographs of Picocystis sp. ML from Mono Lake show small, unicellular green spheres, characteristic of this extremophilic alga."
Diphyllatea,"1. The class Diphyllatea includes biflagellated protists, such as those in the genus Diphylleia, which possess two flagella for locomotion.
2. Other members of the Diphyllatea, such as Collodictyon triciliatum, are quadriflagellated, exhibiting four flagella and a distinct cell morphology."
Haplomitriopsida,"1. The liverwort Haplomitrium gibbsiae grows as slender, erect leafy shoots with bright yellow-green, translucent leaves arranged in three ranks.
2. Unlike most liverworts, Haplomitrium has an upright, radially symmetric stem with strongly undulate or crispate leaves, arising from a subterranean rhizome.
3. The genus Treubia exhibits a different morphology, with a prostrate, flattened thallus and wing-like leaves extending from a central midrib."
Gloeobacteria,"1. Macroscopically, Gloeobacter kilaueensis can form thin, purple-colored biofilms on the surfaces of rocks within lava caves.
2. The cells of Gloeobacter violaceus are simple, unicellular rods that uniquely lack the internal thylakoid membranes found in all other cyanobacteria.
3. Ultrastructurally, the photosynthetic apparatus of Gloeobacter is located on the plasma membrane, visible as a dense layer beneath the cell wall."
Plagiopylea,"1. The ciliate Plagiopyla frontata has a laterally compressed oval body with a distinct transverse oral furrow, or vestibulum, on its ventral surface.
2. Uniformly ciliated, the body of Plagiopyla nasuta features a complex oral apparatus from which rows of somatic cilia originate to generate feeding currents.
3. A key feature of Plagiopyla rariseta is its deep vestibular groove, a complex invagination that functions as a highly organized feeding structure."
Papovaviricetes,"1. Cryo-electron microscopy shows a non-enveloped, icosahedral Simian virus 40 virion with a surface lattice of 72 prominent, pentameric capsomeres, regardless of their hexavalent or pentavalent position. 
 2. The virion of human papillomavirus 1, viewed via negative-contrast electron micrography, is a non-enveloped, spherical capsid with a smooth surface texture. 
 3. Polyomavirus virions are approximately 45 nm in diameter with a distinctly icosahedral shape and a capsid composed of 72 pentameric capsomers."
Planctomycetia,"1. Rosettes of the spherical cells of Planctomyces bekefii are seen connected by a central, non-cellular stalk, which can accumulate iron and manganese. 
 2. The interior of Gemmata obscuriglobus is a complex mosaic of distinct membrane-bounded compartments, including a nuclear body, riboplasm vesicles, and ribosome-free paryphoplasm. 
 3. An ovoid Planctopirus limnophila cell displays unique crateriform structures on its outer surface, with large ones covering the body and smaller ones located at the end."
Zetaproteobacteria,"1. The bacterium Mariprofundus ferrooxydans is a curved rod shape, excreting multiple nanometer-thin, ribbon-shaped stalks that are helical and composed of iron-rich fibrils. 
 2. Scanning electron microscopy reveals a new “coral” morphology of Fe(III)-oxyhydroxides produced by some ZetaOTUs on poorly permeable substrata. 
 3. Distinct sheaths and Y-structures, composed of Fe(III)-oxyhydroxides, characterize the extracellular biomineralization of certain Zetaproteobacteria."
Vampyrellidea,"1. A free-living trophozoite of Vampyrella crystallifera is seen as a fan-shaped body with a multinucleate, orange endoplasm and numerous extended, anterior filopodia. 
 2. During feeding, the organism Leptophrys vorax is observed to engulf entire, armored cells of Trachelomonas through total phagocytosis. 
 3. The life cycle of a Vampyrella species is visibly marked by a color shift from green to orange-brown as the organism forms a digestive cyst to consume its prey."
Actinobacteria,"1. The colony of a Streptomyces isolate, growing on media, presents a dusty texture and a diffuse red pigment coloring the surrounding area. 
 2. A filamentous and branched mycelium with a cotton-like texture characterizes the colony of Actinomycetes isolate HO-I. 
 3. The surface of a Streptomyces sp. colony shows a dense hyphal network with clear evidence of sporulation on the cell layer of chickpea roots."
Eucycliophora,"1. The feeding stage of Symbion pandora presents as a microscopic, sac-like body attached to its host by a posterior adhesive disc, with a prominent, ciliated funnel at its anterior end.   


2. The dwarf male of Symbion is a minute, free-living form composed of only about 50 nucleated cells, possessing a complex internal structure but lacking a digestive system.   
"
Polyplacotomia,"1. Polyplacotoma mediterranea exhibits a strikingly unique morphology among placozoans, characterized by a highly ramified, creeping body with multiple elongated, amoeboid-like branches extending from a central mass.   
"
Pavlovophyceae,"1. Cells of Pavlova lutheri are motile, unicellular flagellates that possess an asymmetric appearance, a characteristic accentuated by the presence of only a single plastid within the cell body.   
"
Eustigmatophyceae,"1. Nannochloropsis species appear as minute, nonmotile, spherical green cells, often only 2 to 3 micrometers in diameter, with no distinguishing morphological features visible under a light microscope.   


2. Vegetative cells of Vischeria punctata are globular or angular, containing a much-lobed parietal chloroplast and, characteristically, a single cytoplasmic lipidic globule with a reddish hue.   

"
Dorylaimea,"1. Nematodes of the genus Discolaimus are characterized by a slender, cylindrical body and a large, disc-shaped lip region that is distinctly offset from the body by a deep constriction.   


2. The species Xiphinema ifacolum is a long, slender nematode with a smooth cuticle, a slightly offset lip region, and a distinctively elongate, conical tail ending in a pointed terminus.   


3. Adults of Crassolabium present a ventrally curved, C-shaped habitus upon fixation, with a truncate, somewhat angular lip region offset by a marked constriction from the cylindrical body."
Acanthodii,"1. The fossil fish Acanthodes had a streamlined, superficially shark-like body, but was toothless and possessed a prominent, immovable dentine spine anterior to each of its fins except the caudal fin.   


2. Climatius was a small, heavily armored acanthodian, distinguished by a robust bony shoulder girdle and numerous small, sharp intermediate spines arranged between the pectoral and pelvic fins.   


3. Parexus is recognized in the fossil record by its exceptionally large and distinctly ornamented anterior dorsal fin spine, which curves posteriorly and dominates its body profile.   

"
Postgaardea,"1. Postgaardi mariagerensis is an oval, biflagellated protist whose entire cell surface is uniformly covered by a dense, highly organized layer of longitudinally arranged, rod-shaped epibiotic bacteria.   
"
Nephroselmidophyceae,"1. The marine flagellate Nephroselmis viridis has a flattened, bean-shaped cell body from which two unequal, heterodynamic flagella emerge from a ventral groove; the entire cell is covered in multiple layers of intricate scales.   


2. The freshwater species Nephroselmis olivacea possesses a single cup-shaped chloroplast and a cell body covered in complex, bipolar spiny scales, sharing a similar underlying ultrastructure with its marine relatives."
Craniata,"1. The strawberry poison dart frog exhibits vibrant, aposematic coloration, with a brilliant red-orange granular skin on its dorsum and head, contrasting sharply with its blue, black-spotted limbs.   


2. The human skull is a complex structure of fused and articulated bones, featuring a large, globular cranium housing the brain, prominent orbits for the eyes, and a projecting mandible forming the lower jaw.   


3. The blue morpho butterfly displays vast, iridescent blue dorsal wing surfaces edged in black, which flash conspicuously during flight, contrasting with the cryptic, brown ventral surfaces marked by multiple large eyespots."
Dicotyledones,"1. The head of a common sunflower is a large composite inflorescence, featuring a central disc of hundreds of tiny, dark florets arranged in spirals, encircled by a ray of bright yellow, petal-like florets.   


2. The southern magnolia produces very large, cup-shaped flowers composed of thick, waxy, creamy-white petals that surround a central cone of reproductive structures, emitting a strong, fragrant scent.   


3. The leaf of a northern red oak is simple and broad, characterized by its deep lobes—typically seven to eleven—each of which terminates in a sharp, bristle-like point, with veins branching in a net-like pattern.   

"
Tetraphidopsida,"1. Tetraphis pellucida is an acrocarpous moss that forms dense green tufts; sterile shoots are often topped with a distinctive cup-shaped whorl of leaves containing gemmae for asexual reproduction.   


2. The sporophyte capsule of the pellucid four-tooth moss is distinguished by its peristome, which consists of four large, triangular, tooth-like structures that regulate spore release.   


3. Tetrodontium brownianum is a minute moss, often consisting only of protonemal leaves from which short, bristle-like structures arise, bearing tiny, egg-shaped capsules with four triangular teeth.   

"
Methanomicrobia,"1. Cells of the genus Methanoculleus are strictly anaerobic, non-motile archaea that appear under electron microscopy as irregular cocci, approximately 1 to 3 micrometers in diameter, occurring singly or in pairs.   


2. The methanogen Methanocella paludicola is a non-motile, rod-shaped archaeon, typically measuring 1.8 to 2.4 micrometers in length and 0.3 to 0.6 micrometers in width.   

"
Methanobacteria,"1. Methanobacterium thermoautotrophicum is an elongate, thermophilic archaeon that often forms long filaments of rod-shaped cells and is characterized by a complex system of stacked, intracytoplasmic membranes.   


2. Methanothermus fervidus is a hyperthermophilic archaeon that exists as short, irregularly curved rods, typically 1 to 3 micrometers long and 0.3 to 0.4 micrometers wide, and lacks flagella."
Holostei,"1. The bowfin is a long, cylindrical fish with a continuous, undulating dorsal fin that extends over half its body length and a distinct, black ocellus, often ringed with orange, at the base of its caudal fin.   


2. The spotted gar has a torpedo-shaped body covered in hard, diamond-shaped ganoid scales, an elongated snout filled with needle-like teeth, and distinct, dark spots on its head, body, and fins.   

"
Thelodonti,"1. The extinct jawless fish Lanarkia had a flattened, ray-like body entirely covered in long, pointed, spine-shaped scales, giving it a bristly or ""horrid"" appearance in fossil impressions.   


2. Loganellia was a small, flattened thelodont whose body was covered in non-overlapping, teardrop-shaped scales, and which possessed a hypocercal tail and paired pectoral fins.   


3. In contrast to flattened forms, Furcacauda was a deep-bodied thelodont characterized by large eyes and a prominent, deeply forked symmetrical tail with multiple intermediate lobes between the main dorsal and ventral forks.   

"
Thermococci,"1. The irregular coccoid cells of Thermococcus kodakarensis are shown with a dense bundle of archaella (flagella) originating from a single pole, providing motility in its hyperthermophilic environment. 
 2. Under an electron microscope, the spherical cells of Pyrococcus furiosus display numerous polar flagella that can aggregate into thick, cable-like structures, forming visible connections between adjacent cells."
Gymnostomatea,"1. The barrel-shaped body of Didinium nasutum features two distinct bands of cilia for locomotion and a prominent, conical proboscis at its anterior end used for capturing prey. 
 2. A teardrop-shaped body with a remarkably long, slender, and highly flexible neck, which can be rapidly extended and retracted, characterizes the ciliate known as the swan tear. 
 3. The elongate, knife-shaped form of Myriokaryon lieberkuehnii is covered in dense cilia, with thousands of small, dark macronuclear nodules visible just beneath its transparent cortex."
Aphelidea,"1. A small, spherical zoospore of Aphelidium protococcarum is shown encysted on the outer wall of a much larger green algal host cell, with a visible penetration tube piercing the host. 
 2. The amoeboid aplanospore of Amoeboaphelidium protococcarum extends multiple fine, filose pseudopodia from its main cell body, which has a dense cluster of lipid globules visible within its cytoplasm."
Mamiellophyceae,"1. The tiny, roughly spherical cell of Ostreococcus tauri, one of the smallest known free-living eukaryotes, reveals a simple internal structure with a single, large chloroplast occupying much of the cell volume. 
 2. A small, pear-shaped cell body with a single, long flagellum extending from its anterior end is characteristic of the picoplanktonic alga Micromonas pusilla."
Pedinophyceae,"1. The small, flattened cell of Pedinomonas minor is a naked green flagellate with a single emergent flagellum, a parietal chloroplast, and a distinct red eyespot visible within its cytoplasm."
Monoblepharidomycetes,"1. Growing on a submerged seed, the filamentous thallus of Monoblepharis polymorpha bears spiny, thick-walled, brownish resting spores that are seated atop empty, vase-shaped oogonia. 
 2. The simple, unbranched thallus of Harpochytrium is rod-shaped and tapers to a point, attaching to a substrate with a distinct basal holdfast."
Bolidophyceae,"1. The spherical, non-motile cell of Triparma laevis is encased in a rigid armor composed of three shield plates, three girdle plates, and one triradiate plate, all made of silica. 
 2. A silicified cell wall constructed from four shield plates and four smaller girdle plates gives the picoplanktonic alga Tetraparma pelagica its distinct, geometrically structured appearance under a scanning electron microscope."
Gemmatimonadetes,"1. An electron micrograph of Gemmatimonas aurantiaca reveals its rod-shaped cells undergoing asymmetric division, with a small, spherical bud emerging from the polar end of the parent cell."
Duplopiviricetes,"1. The virion of Picobirnavirus is a small, non-enveloped spherical particle with a distinct surface texture created by 60 dimeric protein protrusions arranged in a 30-sided triacontahedral capsid."
Parablepharismea,N/A
Phytomastigophora,"1. The spindle-shaped, motile cell of Euglena gracilis is defined by faint spiral striations on its flexible pellicle, a prominent red eyespot, and a single long, emergent flagellum. 
 2. A large, hollow sphere composed of thousands of individual biflagellate green cells embedded in a transparent gelatinous matrix constitutes the colonial organism Volvox carteri, with smaller daughter colonies visible inside. 
 3. The colorless, ovoid cell of Polytomella displays a small anterior papilla from which four equal-length flagella emerge, providing rapid motility."
Echinamoebida,"1. The trophozoite of Echinamoeba thermarum is a flattened, amoeboid cell with an irregular, often triangular shape, from which fine, spine-like subpseudopodia extend from the cell surface. 
 2. An electron micrograph of Vermamoeba vermiformis shows its vegetative trophozoite stage as an irregularly shaped cell actively extending multiple broad, blunt pseudopods across a surface."
Entorrhizomycetes,"1. The presence of Entorrhiza aschersoniana is indicated by conspicuous, globose to oblong whitish galls, which darken with age, forming on the fine roots of its host plant. 
 2. The thick-walled, dark-colored teliospores of Talbotiomyces are spherical to sub-spherical and may exhibit a cerebriform or longitudinally ridged surface ornamentation, which is a key diagnostic feature."
Osteostraci,"1. A reconstruction of Cephalaspis shows a heavily armored, bottom-dwelling jawless fish with a distinctive horseshoe-shaped headshield, dorsally located eyes, and a body covered in smaller, thick scales. 
 2. The extinct jawless fish Hemicyclaspis is characterized by a broad, shovel-shaped headshield with keel-shaped hydrodynamic edges, a stabilizing dorsal fin, and a powerful, heterocercal tail."
Cytophagia,"1. Long, filamentous rod-shaped cells of Cytophaga hutchinsonii are seen arranged in dense, parallel arrays, adhering closely to the surface of cellulose fibers on which they glide and feed. 
 2. When cultured on an agar medium, the gliding bacterium Flavobacterium psychrophilum forms distinct colonies characterized by their bright yellow pigmentation and thin, spreading margins."
Oligotrichea,"1. The conical body of Strombidium conicum is clearly visible, defined by a prominent anterior ring of cilia used for locomotion and feeding, set against a simple aqueous background. 
 2. Displaying a golden-brown cytoplasm from sequestered plastids, the ovoid cell of Pseudotontonia simplicidens features a distinct, long contractile tail extending from its posterior end. 
 3. An individual Strombidium cell presents a classic ovoid to pyriform shape, with its anterior end dominated by a conspicuous and open adoral zone of membranelles."
Cyrtophoria,"1. The dorso-ventrally flattened, heart-shaped body of Chilodonella uncinata shows a distinct anterior beak and a ventral surface covered in cilia for crawling on substrate. 
 2. A long, oval-shaped Heterohartmannula fangi is shown in ventral view, its surface covered by densely arranged bacteria, with a small, yellowish pigment spot near the anterior end. 
 3. The reniform body of Trithigmostoma cucullulus is arched dorsally and flattened ventrally, with a visible transverse row of bristles on the anterior dorsal surface."
